DEP_DELAY,ARR_DELAY,CANCELLED,CARRIER_DELAY,WEATHER_DELAY,Full_Departure_Datetime
-2.0,-12.0,0,0.0,0.0,2017-02-12 17:58:00
10.0,17.0,0,0.0,0.0,2017-02-12 17:42:00
-5.0,15.0,0,0.0,0.0,2017-02-12 12:35:00
-2.0,-5.0,0,0.0,0.0,2017-02-12 05:43:00
-1.0,-21.0,0,0.0,0.0,2017-02-13 05:59:00
-2.0,-12.0,0,0.0,0.0,2017-02-13 06:07:00
-5.0,-21.0,0,0.0,0.0,2017-02-13 17:55:00
-2.0,-25.0,0,0.0,0.0,2017-02-13 13:00:00
-9.0,-7.0,0,0.0,0.0,2017-02-13 17:00:00
0.0,0.0,0,0.0,0.0,2017-02-13 05:45:00
12.0,-6.0,0,0.0,0.0,2017-02-13 17:44:00
-3.0,0.0,0,0.0,0.0,2017-02-13 12:37:00
-3.0,-15.0,0,0.0,0.0,2017-02-14 05:57:00
-4.0,-24.0,0,0.0,0.0,2017-02-14 17:56:00
-2.0,14.0,0,0.0,0.0,2017-02-14 06:07:00
-10.0,-2.0,0,0.0,0.0,2017-02-14 17:05:00
-4.0,-12.0,0,0.0,0.0,2017-02-14 05:41:00
-5.0,-9.0,0,0.0,0.0,2017-02-14 17:27:00
47.0,42.0,0,42.0,0.0,2017-02-14 13:27:00
-3.0,3.0,0,0.0,0.0,2017-02-15 05:57:00
-1.0,-2.0,0,0.0,0.0,2017-02-15 06:08:00
-8.0,-17.0,0,0.0,0.0,2017-02-15 17:52:00
-4.0,-4.0,0,0.0,0.0,2017-02-15 05:41:00
-13.0,-19.0,0,0.0,0.0,2017-02-15 12:27:00
-2.0,0.0,0,0.0,0.0,2017-02-15 17:30:00
-3.0,-16.0,0,0.0,0.0,2017-02-16 05:57:00
-1.0,-25.0,0,0.0,0.0,2017-02-16 06:09:00
7.0,-25.0,0,0.0,0.0,2017-02-16 13:09:00
72.0,47.0,0,0.0,0.0,2017-02-16 19:12:00
-1.0,-19.0,0,0.0,0.0,2017-02-16 05:44:00
-5.0,-1.0,0,0.0,0.0,2017-02-16 12:35:00
8.0,1.0,0,0.0,0.0,2017-02-16 17:40:00
-1.0,-21.0,0,0.0,0.0,2017-02-17 05:59:00
-3.0,-37.0,0,0.0,0.0,2017-02-17 18:34:00
-2.0,-24.0,0,0.0,0.0,2017-02-17 12:53:00
-2.0,-32.0,0,0.0,0.0,2017-02-17 05:43:00
-1.0,-12.0,0,0.0,0.0,2017-02-18 05:59:00
-3.0,-32.0,0,0.0,0.0,2017-02-19 06:47:00
-3.0,-17.0,0,0.0,0.0,2017-02-20 05:57:00
-5.0,-26.0,0,0.0,0.0,2017-02-20 12:50:00
17.0,-10.0,0,0.0,0.0,2017-02-20 18:54:00
-5.0,-13.0,0,0.0,0.0,2017-02-21 05:55:00
-5.0,-23.0,0,0.0,0.0,2017-02-21 12:50:00
-1.0,-7.0,0,0.0,0.0,2017-02-22 05:59:00
-7.0,-21.0,0,0.0,0.0,2017-02-22 12:48:00
-3.0,-3.0,0,0.0,0.0,2017-02-23 05:57:00
-6.0,-37.0,0,0.0,0.0,2017-02-23 12:49:00
-4.0,-28.0,0,0.0,0.0,2017-02-23 18:33:00
-3.0,-20.0,0,0.0,0.0,2017-02-24 05:57:00
-8.0,-31.0,0,0.0,0.0,2017-02-24 12:47:00
-9.0,-33.0,0,0.0,0.0,2017-02-24 18:28:00
-2.0,-5.0,0,0.0,0.0,2017-02-25 05:58:00
-2.0,-4.0,0,0.0,0.0,2017-02-26 06:43:00
-4.0,8.0,0,0.0,0.0,2017-02-26 18:33:00
17.0,26.0,0,17.0,0.0,2017-02-27 06:17:00
-5.0,-21.0,0,0.0,0.0,2017-02-27 18:32:00
-3.0,-8.0,0,0.0,0.0,2017-02-28 05:57:00
-4.0,4.0,0,0.0,0.0,2017-02-28 12:51:00
-2.0,-19.0,0,0.0,0.0,2017-03-01 05:58:00
-1.0,8.0,0,0.0,0.0,2017-03-01 12:54:00
6.0,4.0,0,0.0,0.0,2017-03-02 06:06:00
141.0,136.0,0,0.0,0.0,2017-03-02 15:18:00
-11.0,-27.0,0,0.0,0.0,2017-03-02 18:26:00
-3.0,-3.0,0,0.0,0.0,2017-03-02 12:32:00
18.0,21.0,0,1.0,0.0,2017-03-02 17:52:00
-3.0,-10.0,0,0.0,0.0,2017-03-03 05:57:00
-3.0,-31.0,0,0.0,0.0,2017-03-03 12:54:00
6.0,-12.0,0,0.0,0.0,2017-03-03 18:43:00
-5.0,-16.0,0,0.0,0.0,2017-03-03 05:40:00
1.0,-4.0,0,0.0,0.0,2017-03-03 12:36:00
15.0,10.0,0,0.0,0.0,2017-03-03 17:49:00
0.0,-2.0,0,0.0,0.0,2017-03-04 06:00:00
-4.0,1.0,0,0.0,0.0,2017-03-04 16:41:00
-4.0,37.0,0,0.0,0.0,2017-03-04 05:41:00
-3.0,-25.0,0,0.0,0.0,2017-03-05 06:42:00
-9.0,-20.0,0,0.0,0.0,2017-03-05 06:01:00
-12.0,-37.0,0,0.0,0.0,2017-03-05 18:25:00
-8.0,-3.0,0,0.0,0.0,2017-03-05 12:27:00
-10.0,-20.0,0,0.0,0.0,2017-03-05 17:24:00
-5.0,-6.0,0,0.0,0.0,2017-03-05 05:40:00
2.0,-11.0,0,0.0,0.0,2017-03-06 06:02:00
-3.0,-30.0,0,0.0,0.0,2017-03-06 12:54:00
-9.0,-40.0,0,0.0,0.0,2017-03-06 18:28:00
-5.0,-18.0,0,0.0,0.0,2017-03-06 05:40:00
3.0,1.0,0,0.0,0.0,2017-03-06 17:37:00
-5.0,-2.0,0,0.0,0.0,2017-03-06 12:30:00
-2.0,-6.0,0,0.0,0.0,2017-03-07 05:58:00
-5.0,-25.0,0,0.0,0.0,2017-03-07 12:52:00
4.0,-9.0,0,0.0,0.0,2017-03-07 05:49:00
12.0,10.0,0,0.0,0.0,2017-03-07 12:47:00
2.0,0.0,0,0.0,0.0,2017-03-07 17:36:00
-2.0,-11.0,0,0.0,0.0,2017-03-08 05:58:00
-10.0,-29.0,0,0.0,0.0,2017-03-08 12:47:00
85.0,87.0,0,0.0,0.0,2017-03-08 18:59:00
-5.0,-25.0,0,0.0,0.0,2017-03-08 05:40:00
-4.0,-5.0,0,0.0,0.0,2017-03-08 12:31:00
-3.0,-15.0,0,0.0,0.0,2017-03-09 05:57:00
-10.0,-28.0,0,0.0,0.0,2017-03-09 18:15:00
1.0,-16.0,0,0.0,0.0,2017-03-09 13:10:00
-5.0,23.0,0,0.0,0.0,2017-03-09 05:40:00
-4.0,0.0,0,0.0,0.0,2017-03-09 17:26:00
-4.0,2.0,0,0.0,0.0,2017-03-09 12:42:00
-1.0,70.0,0,0.0,0.0,2017-03-10 05:59:00
61.0,64.0,0,3.0,0.0,2017-03-10 19:26:00
-3.0,-14.0,0,0.0,0.0,2017-03-10 13:06:00
-3.0,17.0,0,0.0,0.0,2017-03-10 05:42:00
-3.0,75.0,0,0.0,0.0,2017-03-10 17:27:00
-2.0,-7.0,0,0.0,0.0,2017-03-10 12:44:00
-2.0,-7.0,0,0.0,0.0,2017-03-11 06:38:00
9.0,-11.0,0,0.0,0.0,2017-03-11 13:59:00
-5.0,24.0,0,0.0,0.0,2017-03-11 05:40:00
-6.0,-2.0,0,0.0,0.0,2017-03-11 17:24:00
2.0,9.0,0,0.0,0.0,2017-03-12 06:02:00
4.0,8.0,0,0.0,0.0,2017-03-12 13:13:00
6.0,21.0,0,5.0,0.0,2017-03-12 12:52:00
54.0,51.0,0,10.0,0.0,2017-03-12 18:24:00
16.0,28.0,0,16.0,0.0,2017-03-13 06:16:00
18.0,9.0,0,0.0,0.0,2017-03-13 13:04:00
1.0,9.0,0,0.0,0.0,2017-03-13 05:46:00
124.0,170.0,0,4.0,0.0,2017-03-13 19:34:00
92.0,78.0,0,38.0,40.0,2017-03-15 07:32:00
4.0,-10.0,0,0.0,0.0,2017-03-15 13:13:00
185.0,158.0,0,128.0,0.0,2017-03-15 21:30:00
-5.0,-15.0,0,0.0,0.0,2017-03-15 12:41:00
2.0,-7.0,0,0.0,0.0,2017-03-15 05:47:00
-3.0,16.0,0,0.0,0.0,2017-03-15 17:27:00
23.0,43.0,0,0.0,23.0,2017-03-16 06:23:00
22.0,2.0,0,0.0,0.0,2017-03-16 13:31:00
-6.0,-27.0,0,0.0,0.0,2017-03-16 18:19:00
-1.0,-7.0,0,0.0,0.0,2017-03-16 12:45:00
3.0,-7.0,0,0.0,0.0,2017-03-16 17:33:00
2.0,-3.0,0,0.0,0.0,2017-03-16 05:47:00
-1.0,-11.0,0,0.0,0.0,2017-03-17 05:59:00
38.0,14.0,0,0.0,0.0,2017-03-17 19:03:00
-4.0,-25.0,0,0.0,0.0,2017-03-17 13:05:00
-4.0,-19.0,0,0.0,0.0,2017-03-17 05:41:00
-5.0,-18.0,0,0.0,0.0,2017-03-17 12:41:00
40.0,34.0,0,30.0,0.0,2017-03-17 18:10:00
0.0,35.0,0,0.0,0.0,2017-03-18 06:40:00
-3.0,-10.0,0,0.0,0.0,2017-03-18 13:47:00
-7.0,-14.0,0,0.0,0.0,2017-03-18 17:23:00
1.0,-6.0,0,0.0,0.0,2017-03-18 05:46:00
-1.0,-14.0,0,0.0,0.0,2017-03-19 05:59:00
52.0,20.0,0,0.0,0.0,2017-03-19 14:01:00
150.0,123.0,0,0.0,0.0,2017-03-19 20:55:00
-9.0,-16.0,0,0.0,0.0,2017-03-19 12:37:00
-7.0,-17.0,0,0.0,0.0,2017-03-19 17:23:00
13.0,20.0,0,13.0,0.0,2017-03-20 06:13:00
-9.0,-35.0,0,0.0,0.0,2017-03-20 13:00:00
-5.0,-19.0,0,0.0,0.0,2017-03-20 18:20:00
-4.0,33.0,0,0.0,0.0,2017-03-20 05:41:00
-3.0,8.0,0,0.0,0.0,2017-03-20 17:27:00
48.0,36.0,0,0.0,0.0,2017-03-20 13:34:00
-3.0,-13.0,0,0.0,0.0,2017-03-21 05:57:00
-3.0,-16.0,0,0.0,0.0,2017-03-21 13:06:00
-16.0,-21.0,0,0.0,0.0,2017-03-21 18:09:00
-12.0,-21.0,0,0.0,0.0,2017-03-21 12:34:00
-20.0,-14.0,0,0.0,0.0,2017-03-21 17:10:00
-10.0,-21.0,0,0.0,0.0,2017-03-21 05:35:00
-5.0,-12.0,0,0.0,0.0,2017-03-22 05:55:00
-5.0,-27.0,0,0.0,0.0,2017-03-22 18:20:00
-5.0,-25.0,0,0.0,0.0,2017-03-22 13:04:00
0.0,-5.0,0,0.0,0.0,2017-03-22 12:46:00
-2.0,-5.0,0,0.0,0.0,2017-03-22 05:43:00
0.0,-2.0,0,0.0,0.0,2017-03-22 17:30:00
-1.0,-6.0,0,0.0,0.0,2017-03-23 05:59:00
-4.0,-19.0,0,0.0,0.0,2017-03-23 18:21:00
-5.0,-20.0,0,0.0,0.0,2017-03-23 13:04:00
-1.0,-14.0,0,0.0,0.0,2017-03-23 17:29:00
-1.0,-2.0,0,0.0,0.0,2017-03-23 12:45:00
-4.0,-13.0,0,0.0,0.0,2017-03-23 05:41:00
-3.0,-11.0,0,0.0,0.0,2017-03-24 05:57:00
-8.0,-27.0,0,0.0,0.0,2017-03-24 18:17:00
147.0,130.0,0,0.0,0.0,2017-03-24 15:36:00
-4.0,21.0,0,0.0,0.0,2017-03-24 05:41:00
-9.0,-20.0,0,0.0,0.0,2017-03-24 12:37:00
-5.0,-14.0,0,0.0,0.0,2017-03-24 17:25:00
